season,week_ending,age_category,data_type,estimate
2018-19,2018-11-24,1-4 yr,Weekly Rate,0.4
2018-19,2018-11-24,18-29 yr,Cumulative Rate,0.0
2018-19,2018-11-24,75+ yr,Cumulative Rate,5.0
2018-19,2018-11-24,Pediatrics,Weekly Rate,0.3
2018-19,2018-11-24,Pediatrics,Cumulative Rate,1.0
2018-19,2018-11-24,Adults,Weekly Rate,0.3
2018-19,2018-11-24,65+ yr,Weekly Rate,0.8
2018-19,2018-11-24,12-17 yr,Cumulative Rate,0.0
2018-19,2018-11-24,0-<1 yr,Cumulative Rate,4.0
2018-19,2018-11-24,85+ yr,Weekly Rate,1.6
2018-19,2018-11-24,40-49 yr,Cumulative Rate,1.0
2018-19,2018-11-24,75-84 yr,Weekly Rate,0.8
2018-19,2018-11-24,50-64 yr,Cumulative Rate,1.0
2018-19,2018-11-24,Overall,Weekly Rate,0.3
2018-19,2018-11-24,5-11 yr,Cumulative Rate,1.0
2018-19,2018-11-24,5-11 yr,Weekly Rate,0.3
2018-19,2018-11-24,5-17 yr,Cumulative Rate,1.0
2018-19,2018-11-24,18-49 yr,Weekly Rate,0.2
2018-19,2018-11-24,0-4 yr,Weekly Rate,0.6
2018-19,2018-11-24,65+ yr,Cumulative Rate,3.0
2018-19,2018-11-24,18-49 yr,Cumulative Rate,1.0
2018-19,2018-11-24,30-39 yr,Cumulative Rate,1.0
2018-19,2018-11-24,65-74 yr,Cumulative Rate,3.0
2018-19,2018-11-24,50-64 yr,Weekly Rate,0.4
2018-19,2018-11-24,0-<1 yr,Weekly Rate,1.5
2018-19,2018-11-24,0-4 yr,Cumulative Rate,2.0
2018-19,2018-11-24,75+ yr,Weekly Rate,1.0
2018-19,2018-11-24,65-74 yr,Weekly Rate,0.6
2018-19,2018-11-24,40-49 yr,Weekly Rate,0.2
2018-19,2018-11-24,Overall,Cumulative Rate,1.0
2018-19,2018-11-24,12-17 yr,Weekly Rate,0.0
2018-19,2018-11-24,1-4 yr,Cumulative Rate,2.0
2018-19,2018-12-01,75-84 yr,Weekly Rate,1.6
2018-19,2018-12-01,65-74 yr,Weekly Rate,1.0
2018-19,2018-12-01,85+ yr,Cumulative Rate,11.0
2018-19,2018-12-01,1-4 yr,Weekly Rate,1.1
2018-19,2018-12-01,40-49 yr,Weekly Rate,0.2
2018-19,2018-12-01,75-84 yr,Cumulative Rate,5.0
2018-19,2018-12-01,Adults,Cumulative Rate,2.0
2018-19,2018-12-01,1-4 yr,Cumulative Rate,3.0
